name,cbsa_code,median_income,total_population,population_25_plus,hs_diploma,ged,associates,bachelors,masters,professional,doctorate
"Indianapolis-Carmel-Greenwood, IN Metro Area",26900,79852,2130055,1426691,317480,59740,116247,347581,144257,35706,22241
"Iowa City, IA Metro Area",26980,75088,179200,109224,17594,2243,10385,31789,14007,4677,5322
"Iron Mountain, MI-WI Micro Area",27020,64552,30600,22802,7224,791,2735,4055,1287,265,154
"Ithaca, NY Metro Area",27060,74024,104537,61195,8139,2049,4597,14652,11743,2354,7209
"Jackson, MI Metro Area",27100,66073,160060,112708,32694,6461,11883,17538,7062,1000,781
"Jackson, MS Metro Area",27140,61644,611324,411711,80356,19856,41751,79590,35496,9692,7668
"Jackson, TN Metro Area",27180,61177,181719,122650,38287,7606,8471,17545,8283,1707,1493
"Jackson, WY-ID Micro Area",27220,118796,35821,26847,3788,536,1211,10008,3725,913,762
"Jacksonville, FL Metro Area",27260,79643,1683960,1175272,253886,52449,115616,280172,107327,25498,15863
"Jacksonville, IL Micro Area",27300,66353,37958,26441,9133,1500,2036,4168,1212,372,184
"Jacksonville, NC Metro Area",27340,68148,207906,114320,29535,3904,13908,19336,8096,1188,1101
"Jacksonville, TX Micro Area",27380,61261,51886,34679,9616,2547,2468,4377,1745,234,212
"Jamestown, ND Micro Area",27420,61856,21549,15068,4581,872,1737,2856,792,120,129
"Jamestown-Dunkirk, NY Micro Area",27460,58351,125544,88242,23980,5091,12945,12193,7940,981,1053
"Janesville-Beloit, WI Metro Area",27500,75673,164350,113735,32933,4958,13537,20122,7103,1059,1074
"Jasper, IN Micro Area",27540,75979,43614,29878,9624,1035,3137,5532,1621,278,249
"Jefferson, GA Micro Area",27600,89544,84757,57117,14420,3117,5167,10472,3956,1037,426
"Jefferson City, MO Metro Area",27620,74030,150437,103676,28816,5981,8815,20970,8423,1756,1087
"Jesup, GA Micro Area",27700,53427,30949,20890,6814,1857,1845,2098,837,399,51
"Johnson City, TN Metro Area",27740,57762,210729,149695,39472,8728,12199,26092,11994,3223,2544
"Johnstown, PA Metro Area",27780,58418,131538,94666,37352,3738,9942,14824,5842,1271,692
"Jonesboro, AR Metro Area",27860,56738,135792,87937,23865,5821,6917,14181,6274,1546,1288
