name,cbsa_code,median_income,total_population,population_25_plus,hs_diploma,ged,associates,bachelors,masters,professional,doctorate
"Wabash, IN Micro Area",47340,66806,30844,21686,7855,1328,1884,3479,1283,103,145
"Waco, TX Metro Area",47380,66205,302045,189895,43338,9199,18324,31838,13778,3104,3520
"Wahpeton, ND-MN Micro Area",47420,73734,22955,15266,3607,553,2984,2912,555,141,102
"Walla Walla, WA Metro Area",47460,74202,62161,41195,7857,2088,4463,6689,3725,1042,806
"Wapakoneta, OH Micro Area",47540,78660,46125,31536,11696,1341,3973,4183,2265,184,165
"Warner Robins, GA Metro Area",47580,79345,198209,130305,28867,6255,15271,22876,13056,2634,1955
"Warren, PA Micro Area",47620,60480,37920,27966,11840,1159,3134,3609,1518,205,239
"Warrensburg, MO Micro Area",47660,67272,54732,32392,8750,1683,3804,5816,2610,405,604
"Warsaw, IN Micro Area",47700,75317,80442,54244,16523,2640,4010,9036,3921,335,299
"Washington, IN Micro Area",47780,68503,33658,20916,5758,1216,2580,2555,736,62,89
"Washington, NC Micro Area",47820,58357,44499,32768,8968,1475,3687,4626,1760,389,185
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",47900,126684,6318377,4348200,655661,91820,248155,1178613,828044,203791,153649
"Washington Court House, OH Micro Area",47920,63275,28876,19877,7599,1650,1714,1909,786,112,57
"Waterbury-Shelton, CT Metro Area",47930,86191,454969,326360,82055,13611,29497,63183,35540,7086,4560
"Waterloo-Cedar Falls, IA Metro Area",47940,70811,168637,108560,28652,4436,13550,21830,8090,1958,1786
"Watertown, SD Micro Area",47980,72727,28767,19626,6757,602,3082,3072,832,123,168
"Watertown-Fort Atkinson, WI Micro Area",48020,83750,86003,60143,17873,2177,6405,11836,4060,784,489
"Watertown-Fort Drum, NY Metro Area",48060,66301,115040,74083,19829,3763,9573,11375,6532,1121,569
"Wausau, WI Metro Area",48140,77884,138403,97134,29199,2858,13150,19147,5964,1493,694
"Waycross, GA Micro Area",48180,51821,56178,37861,12503,2960,2843,3305,1947,812,184
"Waynesville, NC Micro Area",48200,61912,62662,47569,10792,1983,6168,8595,4058,813,581
"Weatherford, OK Micro Area",48220,60977,39074,24143,6833,1243,1492,4340,1836,180,448
"Weirton-Steubenville, WV-OH Metro Area",48260,58784,114754,83063,30551,3998,10677,11163,4800,572,741
"Wenatchee-East Wenatchee, WA Metro Area",48300,81938,124538,85632,17374,3950,8852,15729,5573,1804,704
"West Plains, MO Micro Area",48460,50993,40383,27491,9028,1790,2353,2963,1348,268,319
"Wheeling, WV-OH Metro Area",48540,57418,136920,99669,35827,4407,11079,14373,6820,1386,1025
"Whitewater-Elkhorn, WI Micro Area",48580,80520,105657,71642,18007,2671,7328,15290,5792,1349,782
"Wichita, KS Metro Area",48620,70655,652622,430462,93150,20516,40029,87366,38398,6507,4509
"Wichita Falls, TX Metro Area",48660,65379,149358,98396,25103,6425,7964,16451,5913,1144,968
"Wildwood-The Villages, FL Metro Area",48680,76508,143408,129083,29612,5747,13385,27316,13700,3155,1432
"Williamsport, PA Metro Area",48700,63917,113489,79894,26865,4026,9433,12660,5215,1047,881
"Williston, ND Micro Area",48780,85595,39555,24541,7269,1305,3770,4255,1437,148,148
"Willmar, MN Micro Area",48820,76592,44079,29740,6828,1120,4517,5973,1825,297,207
"Wilmington, NC Metro Area",48900,76471,453347,333771,62516,12139,37881,84898,34211,7899,4431
"Wilmington, OH Micro Area",48940,70407,42012,28395,10666,1144,3229,3594,1627,146,123
"Wilson, NC Micro Area",48980,56423,79290,54277,15630,2678,6019,7341,3344,756,358
"Winchester, TN Micro Area",49010,63494,43990,30336,9703,2281,2597,4456,2124,318,345
"Winchester, VA-WV Metro Area",49020,84298,146386,103110,29252,4513,7729,18039,9264,1956,1088
"Winnemucca, NV Micro Area",49080,81073,17289,11271,3489,1004,1044,1632,396,104,38
"Winona, MN Micro Area",49100,70744,49779,31414,7419,869,4746,6909,2430,434,507
"Winston-Salem, NC Metro Area",49180,65975,689766,477163,110965,22562,47501,92655,37128,9806,7537
"Wisconsin Rapids-Marshfield, WI Micro Area",49220,67989,74004,53139,17907,2237,7954,7914,2383,735,355
"Woodward, OK Micro Area",49260,61417,20158,13650,4505,852,541,1925,681,187,39
"Wooster, OH Micro Area",49300,73574,116588,77070,26463,2949,5791,12114,5412,903,913
"Worcester, MA Metro Area",49340,95939,867788,609049,139105,20946,52998,139278,77224,12075,13002
"Worthington, MN Micro Area",49380,66101,22041,13649,3697,361,1484,1763,445,123,108
"Yakima, WA Metro Area",49420,70656,257152,157998,38175,9987,12994,19276,8041,1865,1076
"Yankton, SD Micro Area",49460,72821,23414,16359,4088,1245,1868,3262,1217,386,276
"York-Hanover, PA Metro Area",49620,84829,462924,325365,109450,15514,30549,56117,26812,4093,2815
"Youngstown-Warren, OH Metro Area",49660,56713,427420,306607,106698,12238,27240,48099,19730,3937,2132
"Yuba City, CA Metro Area",49700,78179,183364,118976,26132,4268,12843,15720,5256,1305,896
"Yuma, AZ Metro Area",49740,62876,211741,137936,31838,6703,11315,14688,6500,1566,390
"Zanesville, OH Micro Area",49780,60780,86411,59472,22853,1984,5920,7659,3783,648,150
"Zapata, TX Micro Area",49820,39239,13841,8090,2189,240,560,818,310,38,62
